Block_ID_1,Block_ID_2,Similarity
1,2,13.982290519925389
1,3,14.40445925617312
1,4,11.344934974865927
1,5,11.49236271254162
1,6,8.926973523468806
1,7,19.73398479515826
1,8,5.881196713496236
2,3,41.28640062214102
2,4,46.26388920216255
2,5,46.35398392973197
2,6,16.301369634590777
2,7,46.11814435197539
2,8,40.916758947779286
3,4,33.93770158598671
3,5,29.908464123385414
3,6,27.960512048385574
3,7,33.93770158872546
3,8,27.654325805920074
4,5,28.523706073104165
4,6,34.018120779703324
4,7,28.00914698805596
4,8,34.0301369896933
5,6,22.664460715542766
5,7,26.441870836610647
5,8,14.882497031109837
6,7,27.841196220616084
6,8,22.005122994053483
7,8,52.72386406673873
