Block_ID_1,Block_ID_2,Similarity
1,2,37.89992263528027
1,3,36.495445017482204
1,4,43.99204335179063
1,5,41.645352676863226
1,6,30.929250510532526
1,7,65.74930306452256
1,8,26.640870785270206
2,3,41.78069795887715
2,4,51.66109862287564
2,5,47.06150262900178
2,6,17.00888834302637
2,7,61.435303585674724
2,8,20.862995596184867
3,4,59.12595358566397
3,5,57.09152429040644
3,6,49.43304936751545
3,7,67.00361550476373
3,8,39.191897457327116
4,5,17.57913302926849
4,6,47.70750488628002
4,7,57.598590072249074
4,8,38.092454994878594
5,6,60.063561898354976
5,7,68.9917677311445
5,8,36.720409255396845
6,7,54.93239247484651
6,8,34.94528948856744
7,8,43.14447913316035
