Block_ID_1,Block_ID_2,Similarity
1,2,37.899922638343696
1,3,36.49544502041344
1,4,43.99204335179063
1,5,41.64535267686322
1,6,31.04851801851588
1,7,65.74930306452256
1,8,26.555253398739044
1,9,36.849286349287496
1,10,31.843426238651027
1,11,43.63794643305341
1,12,46.65074980209386
1,13,36.08963696008344
1,14,37.29002468494049
2,3,31.78957982467042
2,4,46.5553788783092
2,5,41.95578288443533
2,6,12.048939997707226
2,7,56.329583841108274
2,8,19.369571609118665
2,9,13.264278325143458
2,10,8.455105098246928
2,11,10.68637696914803
2,12,21.369224250763335
2,13,16.71992072841159
2,14,18.81245068650289
3,4,57.17179422570412
3,5,53.18941286703446
3,6,45.59507735830072
3,7,65.04945614480387
3,8,40.34134929516265
3,9,35.89243992228593
3,10,40.03361187151063
3,11,48.795463772983034
3,12,53.01947163566114
3,13,45.17833655905471
3,14,42.08789968765163
4,5,17.57913302926849
4,6,47.77906538999747
4,7,57.598590072249074
4,8,40.748084259986925
4,9,47.37653245429631
4,10,43.079535588839995
4,11,47.210170830981134
4,12,52.33218865882277
4,13,39.08074159272917
4,14,37.19687213655952
5,6,60.10729331625776
5,7,68.9917677311445
5,8,40.87878794646846
5,9,48.76190573253488
5,10,44.17595978073613
5,11,55.82985493979865
5,12,57.567416625646075
5,13,46.63016078962643
5,14,45.38186605098285
6,7,53.23978595418269
6,8,32.09013991877659
6,9,36.64899338645855
6,10,29.840967787239926
6,11,39.11890371051089
6,12,41.11719264893994
6,13,30.849468616816335
6,14,30.32673158672924
7,8,42.56090125311921
7,9,52.72386400762496
7,10,42.93676401105806
7,11,42.707412077423484
7,12,52.723864046082085
7,13,52.72386403751028
7,14,43.50229993537644
8,9,43.45698800401133
8,10,36.84022989144097
8,11,55.969628056267965
8,12,57.29011750680961
8,13,46.0252405357406
8,14,23.388617150165775
9,10,18.19793083470354
9,11,41.94596029486571
9,12,33.53963325792978
9,13,32.622342614785474
9,14,9.06510713822422
10,11,44.903633380505994
10,12,38.974716306253114
10,13,41.15848346641086
10,14,21.347659977166632
11,12,20.627669237885172
11,13,20.88141908137858
11,14,19.3399913394734
12,13,25.122988396202476
12,14,9.760184094281577
13,14,12.577610224052652
