Block_ID_1,Block_ID_2,Similarity
1,2,13.98229052298882
1,3,14.404459259104359
1,4,11.344934974865927
1,5,11.49236271254162
1,6,14.255472409469128
1,7,19.73398479515826
1,8,14.215551238217909
1,9,19.733984798661464
1,10,14.39556660166245
1,11,14.088647344435321
1,12,14.16410871995478
1,13,14.204543702625308
1,14,19.733984786845294
2,3,36.18068088050581
2,4,41.1581694575961
2,5,41.248264185165525
2,6,16.15299290439498
2,7,41.012424607408946
2,8,35.92011170173634
2,9,40.89834158189405
2,10,31.11967925224783
2,11,25.585240377781314
2,12,30.74733044837229
2,13,30.814687588354282
2,14,40.88154774059176
3,4,31.983542226026856
3,5,27.954304763425565
3,6,27.965966478657066
3,7,31.98354222876561
3,8,25.71520840733645
3,9,25.674574113984054
3,10,25.723696805384858
3,11,27.71029476344743
3,12,27.722709362750305
3,13,27.717290428484496
3,14,27.660931607171232
4,5,28.523706073104165
4,6,34.03402312912511
4,7,28.00914698805596
4,8,39.512535500771
4,9,28.453653326380753
4,10,39.51253549510716
4,11,28.58549698238604
4,12,28.16006972145016
4,13,28.24093968980948
4,14,28.2446736182244
5,6,22.675393570742518
5,7,26.441870836610647
5,8,18.885467052806103
5,9,18.600528014839764
5,10,22.40834701288002
5,11,22.43570134954351
5,12,22.447340028245492
5,13,22.44225977716151
5,14,18.641095863198025
6,7,17.547834143969247
6,8,10.538030166301848
6,9,17.46730495655938
6,10,14.018990367544433
6,11,13.846140803636168
6,12,13.905922795431009
6,13,13.927305196726163
6,14,17.455450479861373
7,8,42.560901403139724
7,9,52.72386409051954
7,10,52.723864075949024
7,11,52.72386408737781
7,12,52.72386409053357
7,13,52.72386408751055
7,14,52.7238640816941
8,9,24.0196596153296
8,10,18.853529576170818
8,11,21.2564694349
8,12,25.408532773113187
8,13,25.39294406373356
8,14,19.934832660507663
9,10,11.930195151974125
9,11,7.754662852965414
9,12,7.637410760114113
9,13,7.647408611314948
9,14,3.138630974280384
10,11,18.173575678330327
10,12,20.322728378698788
10,13,20.31704406794175
10,14,18.10410328322909
11,12,16.919929718412845
11,13,16.9759974182647
11,14,20.251404518212176
12,13,0.0757293456380986
12,14,4.970829475832649
13,14,8.510168751625208
