Block_ID_1,Block_ID_2,Similarity
1,2,0.5337852497092933
1,3,0.8532759104743912
1,4,0.4168147727928323
1,5,0.6590570102199373
1,6,0.3840703204955283
1,7,0.9088335117169168
1,8,0.5652647380465463
2,3,0.5609640474436812
2,4,0.13439730395826166
2,5,0.4594924476612571
2,6,0.9535713535957511
2,7,0.16666666666666666
2,8,0.9127956693351132
3,4,0.3784903036477433
3,5,0.16064563348964656
3,6,0.26260084770127623
3,7,1.238361650606593
3,8,0.7227621796476126
4,5,0.6139593075924449
4,6,0.4450316884166002
4,7,0.7194073976512285
4,8,0.5180594184980221
5,6,0.1875
5,7,1.9622179681640608
5,8,0.46567741488977105
6,7,1.6029447911257995
6,8,0.38777532850602764
7,8,0
