Block_ID,Column,Value,Probability,Entropy
8,Instruction,push,0.01,2.84
8,Instruction,ret,0.01,2.84
8,Instruction,sub,0.01,2.84
8,Left Operand,$0x0,0.05,5.35
8,Left Operand,$0x1,0.03,5.35
8,Left Operand,$0x14,0.01,5.35
8,Left Operand,$0x50,0.03,5.35
8,Left Operand,$0xa,0.01,5.35
8,Left Operand,%eax,0.07,5.35
8,Left Operand,%ecx,0.03,5.35
8,Left Operand,%edx,0.01,5.35
8,Left Operand,%rax,0.04,5.35
8,Left Operand,%rbp,0.03,5.35
8,Left Operand,%rcx,0.01,5.35
8,Left Operand,%rsp,0.01,5.35
8,Left Operand,(%rax),0.01,5.35
8,Left Operand,"(%rax,%rax,4)",0.01,5.35
8,Left Operand,-0x18(%rbp),0.08,5.35
8,Left Operand,-0x1c(%rbp),0.03,5.35
8,Left Operand,-0x28(%rbp),0.01,5.35
8,Left Operand,-0x30(%rbp),0.04,5.35
8,Left Operand,-0x34(%rbp),0.01,5.35
8,Left Operand,-0x38(%rbp),0.01,5.35
8,Left Operand,-0x4(%rbp),0.01,5.35
8,Left Operand,-0x40(%rbp),0.01,5.35
8,Left Operand,-0x48(%rbp),0.01,5.35
8,Left Operand,0x2cd5(%rip),0.01,5.35
8,Left Operand,0x2cec(%rip),0.01,5.35
8,Left Operand,0x2d29(%rip),0.01,5.35
8,Left Operand,0xd3c(%rip),0.01,5.35
8,Left Operand,1050<_ZStlsISt11char_traitsIcEERSt13basic_ostreamIcT_ES5_PKc@plt>,0.01,5.35
8,Left Operand,1060<_ZNSolsEPFRSoS_E@plt>,0.01,5.35
8,Left Operand,1090<_ZNSolsEi@plt>,0.01,5.35
8,Left Operand,10a0<_Unwind_Resume@plt>,0.01,5.35
8,Left Operand,1214<main+0x24>,0.01,5.35
8,Left Operand,1234<main+0x44>,0.01,5.35
8,Left Operand,1239<main+0x49>,0.01,5.35
8,Left Operand,1261<main+0x71>,0.01,5.35
8,Left Operand,1268<main+0x78>,0.01,5.35
8,Left Operand,127f<main+0x8f>,0.01,5.35
8,Left Operand,12a2<main+0xb2>,0.01,5.35
8,Left Operand,12bd<main+0xcd>,0.01,5.35
8,Left Operand,12d2<main+0xe2>,0.01,5.35
8,Left Operand,12d7<main+0xe7>,0.01,5.35
8,Left Operand,12e5<main+0xf5>,0.01,5.35
8,Left Operand,12fd<main+0x10d>,0.01,5.35
8,Left Operand,1316<main+0x126>,0.01,5.35
8,Left Operand,1320<_ZN12DynamicArrayIiEC2Ei>,0.01,5.35
8,Left Operand,1380<_ZN12DynamicArrayIiE9push_backEi>,0.01,5.35
8,Left Operand,13e0<_ZNK12DynamicArrayIiE7getSizeEv>,0.01,5.35
8,Left Operand,1400<_ZN12DynamicArrayIiEixEi>,0.01,5.35
8,Left Operand,1420<_ZN12DynamicArrayIiED2Ev>,0.03,5.35
8,Right Operand,%eax,0.14,3.58
8,Right Operand,%ecx,0.03,3.58
8,Right Operand,%esi,0.05,3.58
8,Right Operand,%rax,0.01,3.58
8,Right Operand,%rbp,0.01,3.58
8,Right Operand,%rcx,0.01,3.58
8,Right Operand,%rdi,0.14,3.58
8,Right Operand,%rsi,0.03,3.58
8,Right Operand,%rsp,0.03,3.58
8,Right Operand,-0x1c(%rbp),0.04,3.58
8,Right Operand,-0x28(%rbp),0.01,3.58
8,Right Operand,-0x2c(%rbp),0.01,3.58
8,Right Operand,-0x30(%rbp),0.03,3.58
8,Right Operand,-0x34(%rbp),0.01,3.58
8,Right Operand,-0x38(%rbp),0.01,3.58
8,Right Operand,-0x4(%rbp),0.03,3.58
8,Right Operand,-0x40(%rbp),0.01,3.58
8,Right Operand,-0x48(%rbp),0.01,3.58
9,Instruction,add,0.04,2.58
9,Instruction,call,0.04,2.58
9,Instruction,cmovo,0.04,2.58
9,Instruction,csnopw,0.04,2.58
9,Instruction,mov,0.54,2.58
9,Instruction,movslq,0.04,2.58
9,Instruction,mul,0.04,2.58
9,Instruction,nop,0.04,2.58
9,Instruction,pop,0.04,2.58
9,Instruction,push,0.04,2.58
9,Instruction,ret,0.04,2.58
9,Instruction,seto,0.04,2.58
9,Instruction,sub,0.04,2.58
9,Left Operand,$0x20,0.07,3.92
9,Left Operand,$0x4,0.04,3.92
9,Left Operand,$0xffffffffffffffff,0.04,3.92
9,Left Operand,%al,0.04,3.92
9,Left Operand,%ecx,0.07,3.92
9,Left Operand,%esi,0.04,3.92
9,Left Operand,%rax,0.14,3.92
9,Left Operand,%rbp,0.07,3.92
9,Left Operand,%rcx,0.07,3.92
9,Left Operand,%rdi,0.04,3.92
9,Left Operand,%rsp,0.04,3.92
9,Left Operand,-0x18(%rbp),0.04,3.92
9,Left Operand,-0x8(%rbp),0.04,3.92
9,Left Operand,-0xc(%rbp),0.07,3.92
9,Left Operand,"0x0(%rax,%rax,1)",0.04,3.92
9,Left Operand,0xc(%rax),0.04,3.92
9,Left Operand,1030<_Znam@plt>,0.04,3.92
9,Right Operand,%ecx,0.11,3.37
9,Right Operand,%rax,0.14,3.37
9,Right Operand,%rbp,0.04,3.37
9,Right Operand,%rcx,0.04,3.37
9,Right Operand,%rdi,0.07,3.37
9,Right Operand,%rsp,0.07,3.37
9,Right Operand,(%rax),0.04,3.37
9,Right Operand,-0x18(%rbp),0.04,3.37
9,Right Operand,-0x8(%rbp),0.04,3.37
9,Right Operand,-0xc(%rbp),0.04,3.37
9,Right Operand,0x8(%rax),0.04,3.37
9,Right Operand,0xc(%rax),0.04,3.37
10,Instruction,add,0.07,2.70
10,Instruction,call,0.03,2.70
10,Instruction,cmp,0.03,2.70
10,Instruction,csnopw,0.03,2.70
10,Instruction,jne,0.03,2.70
10,Instruction,mov,0.52,2.70
10,Instruction,movslq,0.03,2.70
10,Instruction,nopl,0.07,2.70
10,Instruction,pop,0.03,2.70
10,Instruction,push,0.03,2.70
10,Instruction,ret,0.03,2.70
10,Instruction,shl,0.03,2.70
10,Instruction,sub,0.03,2.70
10,Left Operand,$0x1,0.07,4.38
10,Left Operand,$0x20,0.07,4.38
10,Left Operand,%ecx,0.07,4.38
10,Left Operand,%edi,0.03,4.38
10,Left Operand,%edx,0.03,4.38
10,Left Operand,%esi,0.03,4.38
10,Left Operand,%rbp,0.07,4.38
10,Left Operand,%rcx,0.03,4.38
10,Left Operand,%rdi,0.03,4.38
10,Left Operand,%rsp,0.03,4.38
10,Left Operand,(%rax),0.07,4.38
10,Left Operand,(%rsi),0.03,4.38
10,Left Operand,-0x18(%rbp),0.07,4.38
10,Left Operand,-0x8(%rbp),0.03,4.38
10,Left Operand,-0xc(%rbp),0.03,4.38
10,Left Operand,"0x0(%rax,%rax,1)",0.03,4.38
10,Left Operand,0x8(%rcx),0.03,4.38
10,Left Operand,0x8(%rsi),0.03,4.38
10,Left Operand,0xc(%rcx),0.03,4.38
10,Left Operand,0xc(%rdi),0.03,4.38
10,Left Operand,13b2<_ZN12DynamicArrayIiE9push_backEi+0x32>,0.03,4.38
10,Left Operand,1450<_ZN12DynamicArrayIiE6resizeEi>,0.03,4.38
10,Right Operand,%eax,0.07,3.92
10,Right Operand,%ecx,0.03,3.92
10,Right Operand,%edi,0.07,3.92
10,Right Operand,%edx,0.03,3.92
10,Right Operand,%esi,0.07,3.92
10,Right Operand,%rax,0.03,3.92
10,Right Operand,%rbp,0.03,3.92
10,Right Operand,%rcx,0.07,3.92
10,Right Operand,%rdi,0.03,3.92
10,Right Operand,%rsi,0.03,3.92
10,Right Operand,%rsp,0.07,3.92
10,Right Operand,"(%rax,%rcx,4)",0.03,3.92
10,Right Operand,-0x18(%rbp),0.03,3.92
10,Right Operand,-0x8(%rbp),0.03,3.92
10,Right Operand,-0xc(%rbp),0.03,3.92
10,Right Operand,0x8(%rsi),0.03,3.92
11,Instruction,csnopw,0.11,2.28
11,Instruction,mov,0.44,2.28
11,Instruction,nopl,0.11,2.28
11,Instruction,pop,0.11,2.28
11,Instruction,push,0.11,2.28
11,Instruction,ret,0.11,2.28
11,Left Operand,%rbp,0.22,2.50
11,Left Operand,%rdi,0.11,2.50
11,Left Operand,%rsp,0.11,2.50
11,Left Operand,-0x8(%rbp),0.11,2.50
11,Left Operand,"0x0(%rax,%rax,1)",0.22,2.50
11,Left Operand,0x8(%rax),0.11,2.50
11,Right Operand,%eax,0.11,2.00
11,Right Operand,%rax,0.11,2.00
11,Right Operand,%rbp,0.11,2.00
11,Right Operand,-0x8(%rbp),0.11,2.00
12,Instruction,add,0.08,2.62
12,Instruction,mov,0.42,2.62
12,Instruction,movslq,0.08,2.62
12,Instruction,nop,0.08,2.62
12,Instruction,pop,0.08,2.62
12,Instruction,push,0.08,2.62
12,Instruction,ret,0.08,2.62
12,Instruction,shl,0.08,2.62
12,Left Operand,$0x2,0.08,3.12
12,Left Operand,%esi,0.08,3.12
12,Left Operand,%rbp,0.17,3.12
12,Left Operand,%rcx,0.08,3.12
12,Left Operand,%rdi,0.08,3.12
12,Left Operand,%rsp,0.08,3.12
12,Left Operand,(%rax),0.08,3.12
12,Left Operand,-0x8(%rbp),0.08,3.12
12,Left Operand,-0xc(%rbp),0.08,3.12
12,Right Operand,%rax,0.25,2.16
12,Right Operand,%rbp,0.08,2.16
12,Right Operand,%rcx,0.17,2.16
12,Right Operand,-0x8(%rbp),0.08,2.16
12,Right Operand,-0xc(%rbp),0.08,2.16
13,Instruction,add,0.07,2.70
13,Instruction,call,0.07,2.70
13,Instruction,cmp,0.07,2.70
13,Instruction,je,0.07,2.70
13,Instruction,mov,0.43,2.70
13,Instruction,pop,0.07,2.70
13,Instruction,push,0.07,2.70
13,Instruction,ret,0.07,2.70
13,Instruction,sub,0.07,2.70
13,Left Operand,$0x0,0.07,3.39
13,Left Operand,$0x10,0.14,3.39
13,Left Operand,%rax,0.07,3.39
13,Left Operand,%rbp,0.14,3.39
13,Left Operand,%rdi,0.07,3.39
13,Left Operand,%rsp,0.07,3.39
13,Left Operand,(%rax),0.07,3.39
13,Left Operand,-0x10(%rbp),0.07,3.39
13,Left Operand,-0x8(%rbp),0.07,3.39
13,Left Operand,1070<_ZdaPv@plt>,0.07,3.39
13,Left Operand,144a<_ZN12DynamicArrayIiED2Ev+0x2a>,0.07,3.39
13,Right Operand,%rax,0.21,2.42
13,Right Operand,%rbp,0.07,2.42
13,Right Operand,%rdi,0.07,2.42
13,Right Operand,%rsp,0.14,2.42
13,Right Operand,-0x10(%rbp),0.07,2.42
13,Right Operand,-0x8(%rbp),0.07,2.42
14,Instruction,add,0.04,2.59
14,Instruction,call,0.04,2.59
14,Instruction,cmovo,0.02,2.59
14,Instruction,cmp,0.04,2.59
14,Instruction,je,0.02,2.59
14,Instruction,jge,0.02,2.59
14,Instruction,jmp,0.02,2.59
14,Instruction,mov,0.57,2.59
14,Instruction,movl,0.02,2.59
14,Instruction,movslq,0.06,2.59
14,Instruction,mul,0.02,2.59
14,Instruction,pop,0.02,2.59
14,Instruction,push,0.02,2.59
14,Instruction,ret,0.02,2.59
14,Instruction,seto,0.02,2.59
14,Instruction,sub,0.02,2.59
14,Left Operand,$0x0,0.04,4.62
14,Left Operand,$0x1,0.02,4.62
14,Left Operand,$0x30,0.04,4.62
14,Left Operand,$0x4,0.02,4.62
14,Left Operand,$0xffffffffffffffff,0.02,4.62
